Loss,Accuracy,a,k,b
1.29349,0.363868,0.246362,3.31832,-0.139971
1.29347,0.363868,0.246342,3.31832,-0.139971
1.29345,0.363868,0.246321,3.31832,-0.139971
1.29343,0.363868,0.246301,3.31832,-0.139971
1.29342,0.363868,0.246281,3.31832,-0.139971
1.2934,0.363868,0.24626,3.31832,-0.139971
1.29338,0.363868,0.24624,3.31832,-0.139971
1.29336,0.363868,0.24622,3.31831,-0.139971
1.29335,0.363868,0.2462,3.31831,-0.139971
1.29333,0.363868,0.24618,3.31831,-0.139971
1.29331,0.363868,0.246159,3.31831,-0.139971
1.2933,0.363868,0.246139,3.31831,-0.13997
1.29328,0.363868,0.246119,3.31831,-0.13997
1.29326,0.363868,0.246099,3.31831,-0.13997
1.29325,0.363868,0.246079,3.3183,-0.13997
1.29323,0.363868,0.246059,3.3183,-0.13997
1.29321,0.363868,0.246039,3.3183,-0.13997
1.29319,0.363868,0.246019,3.3183,-0.13997
1.29318,0.363868,0.246,3.3183,-0.13997
1.29316,0.363868,0.24598,3.3183,-0.13997
1.29315,0.363868,0.24596,3.3183,-0.13997
1.29313,0.363868,0.24594,3.3183,-0.13997
1.29311,0.363868,0.24592,3.31829,-0.139969
1.2931,0.363868,0.245901,3.31829,-0.139969
1.29308,0.363868,0.245881,3.31829,-0.139969
1.29306,0.363868,0.245861,3.31829,-0.139969
1.29305,0.363868,0.245842,3.31829,-0.139969
1.29303,0.363868,0.245822,3.31829,-0.139969
1.29302,0.363868,0.245802,3.31829,-0.139969
1.293,0.363868,0.245783,3.31829,-0.139969
1.29299,0.363868,0.245763,3.31829,-0.139969
1.29297,0.363868,0.245744,3.31829,-0.139969
1.29295,0.363868,0.245724,3.31828,-0.139969
1.29294,0.363868,0.245705,3.31828,-0.139968
1.29292,0.363868,0.245685,3.31828,-0.139968
1.29291,0.363868,0.245666,3.31828,-0.139968
1.29289,0.363868,0.245647,3.31828,-0.139968
1.29288,0.363868,0.245627,3.31828,-0.139968
1.29286,0.363868,0.245608,3.31828,-0.139968
1.29285,0.363868,0.245589,3.31828,-0.139968
1.29283,0.363868,0.245569,3.31828,-0.139968
1.29282,0.363868,0.24555,3.31828,-0.139968
1.2928,0.363868,0.245531,3.31828,-0.139968
1.29279,0.363868,0.245512,3.31827,-0.139968
1.29277,0.363868,0.245493,3.31827,-0.139967
1.29276,0.363868,0.245474,3.31827,-0.139967
1.29274,0.363868,0.245455,3.31827,-0.139967
1.29273,0.363868,0.245436,3.31827,-0.139967
1.29271,0.366412,0.245416,3.31827,-0.139967
1.2927,0.366412,0.245397,3.31827,-0.139967
1.29268,0.366412,0.245379,3.31827,-0.139967
1.29267,0.366412,0.24536,3.31827,-0.139967
